# ID            Ra                 Dec                 Field            M_UV                zbest              zphot              zspec  ref                                   isBL Xray index MBH                Lbol                 
  43738         34.4243105632024   -5.1364909347605625 UDS              -18.889104958022354 5.0900678634643555 5.0900678634643555 0.0    Kokorev24                             0    0    154   -99.0              6.944313041062055E43 
  23515         34.42567           -5.19466            UDS              -19.4               5.2                5.2                0.0    Kocevski24                            0    0    155   -99.0              1.0713141285567187E44
  29110         34.42591519726276  -5.159179553898098  UDS              -17.756852640149642 7.128774642944336  7.128774642944336  0.0    Kokorev24/Kocevski24                  0    0    156   -99.0              2.694423760092493E43 
  106389        34.426489          -5.225494           UDS              -19.29              11.29              11.29              0.0    Kocevski24                            0    0    157   -99.0              9.755270573256865E43 
  165865        34.429471          -5.128854           UDS              -17.91              5.2                5.2                0.0    Kocevski24                            0    0    158   -99.0              3.0588918202156884E43
  57469         34.43021892134757  -5.113188391459482  UDS              -19.777406408841863 5.667973041534424  5.667973041534424  0.0    Kokorev24/Kocevski24                  0    0    159   -99.0              1.4792224352482099E44
  15257         34.431864205539185 -5.182779988252042  UDS              -18.846641969673545 6.920136451721191  6.920136451721191  0.0    Kokorev24                             0    0    160   -99.0              6.699684775165307E43 
  153498        34.434424          -5.108764           UDS              -16.98              7.0                7.0                0.0    Kocevski24                            0    0    161   -99.0              1.4241599458744599E43
  60251         34.4379            -5.299977           UDS              -18.59              7.42               7.42               0.0    Kocevski24                            0    0    162   -99.0              5.397242046733675E43 
  22773         34.43898594228325  -5.170543086397919  UDS              -18.878715129649372 4.40127420425415   4.40127420425415   0.0    Kokorev24/Kocevski24                  0    0    163   -99.0              6.883627267212831E43 
  159206        34.439668          -5.117357           UDS              -18.53              7.9                7.9                0.0    Kocevski24                            0    0    164   -99.0              5.131992622724041E43 
  191132        34.439678          -5.093826           UDS              -18.8               7.48               7.48               0.0    Kocevski24                            0    0    165   -99.0              6.441101285960554E43 
  1381          34.44098752394927  -5.209337115813178  UDS              -17.520657149917344 5.662596702575684  5.662596702575684  0.0    Kokorev24/Kokorev24                   0    0    166   -99.0              2.2172528480830281E43
  68006         34.441683442818885 -5.093647804999169  UDS              -17.799725522068222 5.160264492034912  5.160264492034912  0.0    Kokorev24/Kocevski24                  0    0    167   -99.0              2.791731939989678E43 
  24100         34.44288277802616  -5.168180429149539  UDS              -19.112623988561445 4.991886138916016  4.991886138916016  0.0    Kokorev24                             0    0    168   -99.0              8.390814969572101E43 
  17160         34.446115          -5.165109           UDS              -19.85              8.14               8.14               0.0    Kocevski24                            0    0    169   -99.0              1.5742749794124809E44
  71037         34.446952703995976 -5.086685438086616  UDS              -18.214225486236323 6.849483013153076  6.849483013153076  0.0    Kokorev24                             0    0    170   -99.0              3.94005643805259E43  
  52141         34.44713116480162  -5.122991975711636  UDS              -19.196188220468922 7.130077838897705  7.130077838897705  0.0    Kokorev24/Kocevski24                  0    0    171   -99.0              9.007558446851419E43 
  44053         34.447358936910916 -5.135860437645193  UDS              -18.018840221896326 5.438138961791992  5.438138961791992  0.0    Kokorev24/Kocevski24                  0    0    172   -99.0              3.3482813153591415E43
  32025         34.452492762590296 -5.154707337215251  UDS              -16.99379146804004  4.043330669403076  4.043330669403076  0.0    Kokorev24                             0    0    173   -99.0              1.440245709565501E43 
  25430         34.45335415712461  -5.27071720106125   UDS              -18.963954009835202 7.128200054168701  7.128200054168701  0.0    Kokorev24/Kocevski24                  0    0    174   -99.0              7.397949359256237E43 
